artist	title
Björk	Undo
Florence + The Machine	Dog Days Are Over (Radio Edit)
Dwight Yoakam	You're The One
Nirvana	Where Did You Sleep Last Night
Nirvana	Come As You Are
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner	Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)
DAVE MATTHEWS BAND	Rhyme & Reason
Harmonia	Sehr kosmisch
Shinedown	Cry For Help (Album Version)
Staind	For You (Amended/Radio Edit LP)
Charttraxx Karaoke	Fireflies
OneRepublic	Secrets
DAVE MATTHEWS BAND	Time Bomb
Kings Of Leon	Revelry
Lil Wayne / Eminem	Drop The World
Breaking Benjamin	Blow Me Away
Kings Of Leon	Use Somebody
Daft Punk	Harder Better Faster Stronger
Daft Punk	Aerodynamic
Daft Punk	Indo Silver Club
Daft Punk	Steam Machine
Daft Punk	High Life
Daft Punk	Funk Ad
Daft Punk	Face To Face
Daft Punk	Digital Love
Arcade Fire	The Woodlands National Anthem
Daft Punk	Rock'n Roll
Daft Punk	Nightvision
Daft Punk	Around The World (Radio Edit)
Daft Punk	The Prime Time Of Your Life
Daft Punk	One More Time (Short Radio Edit)
Daft Punk	Da Funk
Daft Punk	Crescendolls
The Rolling Stones	Angie
Daft Punk	Too Long
Daft Punk	Something About Us
MGMT	Electric Feel
Daft Punk	Voyager
Daft Punk	Human After All
Daft Punk	Revolution 909
Daft Punk	Short Circuit
Jake Hess	You And Me Jesus
Jason Mraz & Colbie Caillat	Lucky (Album Version)
Crowded House	Don't Dream It's Over
Green Day	American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version)
Train	Hey_ Soul Sister
The Script	Breakeven
Band Of Horses	The Funeral (Album Version)
Plain White T's	Hey There Delilah
matchbox twenty	3AM (LP Version)
Owl City	Vanilla Twilight
Adam Lambert	If I Had You
Paramore	The Only Exception (Album Version)
Fisher	Rianna
Katy Perry	I Kissed A Girl
3 Doors Down	Here Without You
Flogging Molly	If I Ever Leave This World Alive
Triumvirat	Waterfall
Randy Crawford	Almaz
Travie McCoy	Billionaire [feat. Bruno Mars]  (Explicit Album Version)
Alanis Morissette	Ironic (Acoustic Album Version)
Glen Hansard & Marketa Irglova	Drown Out (Album version)
Train	Marry Me
Taylor Swift	Love Story
John Mayer	Heartbreak Warfare
B.o.B	Nothin' On You [feat. Bruno Mars] (Album Version)
The Doors	Strange Days
Train	Drops Of Jupiter
Jonas Brothers	Lovebug
John Mayer	Half Of My Heart
Justice	Phantom Part 1.5 (Album Version)
Octopus Project	Rorol
Skream	Auto-Dub
Cut Copy	That Was Just A Dream
Coldplay	Swallowed In The Sea
Four Tet	Hilarious Movie Of The 90s
Daft Punk	One More Time (Romanthony's Unplugged)
Daft Punk	Emotion
Deadmau5	Slip
LCD Soundsystem	Us V Them
Justice	TTHHEE PPAARRTTYY
Hot Chip	We Have Love
Sigur Ros	Staralfur
Justice	One Minute To Midnight
Four Tet	This Unfolds
LCD Soundsystem	Hippie Priest Bum-out (Edit)
Coldplay	Life In Technicolor
Octopus Project	Crying At The Aquarium
Coldplay	Clocks
Cut Copy	Lights & Music
Boys Noize	Arcade Robot
MSTRKRFT	Neon Knights
Boys Noize	Deny Selected
Octopus Project	Hold The Ladder
Octopus Project	Tuxedo Hat
LCD Soundsystem	Tribulations
Deadmau5	Ghosts 'n' Stuff (Original Instrumental Mix)
Hot Chip	So Glad To See You
Fernando Soto	Suena tu guitarra
Coldplay	Strawberry Swing
Cut Copy	Hearts On Fire
Cut Copy	Feel The Love
Coldplay	God Put A Smile Upon Your Face
Coldplay	Brothers & Sisters
Cut Copy	So Haunted
LCD Soundsystem	Too Much Love
Four Tet	Angel Echoes
MSTRKRFT	She's Good For Business
Skream	Kut-Off
Epica	Incentive (Bonus Track)
Daft Punk	Burnin' / Too Long
Beirut	Napoleon On The Bellerophon
