artist	title
Björk	Undo
Florence + The Machine	Dog Days Are Over (Radio Edit)
Dwight Yoakam	You're The One
Nirvana	Where Did You Sleep Last Night
Nirvana	Come As You Are
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner	Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)
DAVE MATTHEWS BAND	Rhyme & Reason
Harmonia	Sehr kosmisch
Rodrigo y Gabriela	IXTAPA
Shinedown	Cry For Help (Album Version)
Staind	For You (Amended/Radio Edit LP)
Charttraxx Karaoke	Fireflies
OneRepublic	Secrets
Damian Marley / Stephen Marley / Rovleta Fraser	Hey Girl
Luis Fonsi	Me Lo Dice El Alma
Kings Of Leon	Revelry
Lil Wayne / Eminem	Drop The World
Breaking Benjamin	Blow Me Away
Kings Of Leon	Use Somebody
Three Days Grace	I Hate Everything About You
Daft Punk	Harder Better Faster Stronger
Daft Punk	Aerodynamic
Theory Of A Deadman	Bad Girlfriend [Explicit]
Theory Of A Deadman	Santa Monica
Daft Punk	High Life
Shinedown	Heroes (Album Version)
Daft Punk	Face To Face
Daft Punk	Digital Love
Tom Petty And The Heartbreakers	Listen To Her Heart
Pantera	This Love  (Remastered LP Version)
3 Doors Down	Let Me Be Myself
Daft Punk	Around The World (Radio Edit)
Theory Of A Deadman	Make Up Your Mind
Daft Punk	One More Time (Short Radio Edit)
Weezer	Say It Ain't So
Daft Punk	Crescendolls
The Rolling Stones	Angie
Tom Petty And The Heartbreakers	Breakdown (Album Version)
Audioslave	Like A Stone
Daft Punk	Something About Us
Soundgarden	Fell On Black Days
MGMT	Electric Feel
Daft Punk	Voyager
Guns N' Roses	Sympathy For The Devil
Herb Alpert And The Tijuana Brass	Acapulco 1922
Jake Hess	You And Me Jesus
Jason Mraz & Colbie Caillat	Lucky (Album Version)
Crowded House	Don't Dream It's Over
Jonas Brothers	S.O.S.
Green Day	American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version)
Train	Hey_ Soul Sister
The Script	Breakeven
Band Of Horses	The Funeral (Album Version)
Plain White T's	Hey There Delilah
matchbox twenty	3AM (LP Version)
Owl City	Vanilla Twilight
Sheryl Crow	Picture
Adam Lambert	If I Had You
Casual featuring Del Tha Funkee Homosapien	A Little Something
Paramore	The Only Exception (Album Version)
Golden Earring	Radar Love
Jimmy Needham	Come Around
Fisher	Rianna
Katy Perry	I Kissed A Girl
3 Doors Down	Here Without You
Flogging Molly	If I Ever Leave This World Alive
The White Stripes	Jolene (Live)
Triumvirat	Waterfall
Randy Crawford	Almaz
Travie McCoy	Billionaire [feat. Bruno Mars]  (Explicit Album Version)
Alanis Morissette	Ironic (Acoustic Album Version)
The Ark	It Takes A Fool To Remain Sane
Sugarland	Speed Of Life
Bayside	Devotion And Desire
Train	Marry Me
Taylor Swift	Love Story
John Mayer	Heartbreak Warfare
B.o.B	Nothin' On You [feat. Bruno Mars] (Album Version)
Say Anything	Every Man Has A Molly
Train	Drops Of Jupiter
Bayside	Tortures Of The Damned (Album Version)
Jonas Brothers	Lovebug
John Mayer	Half Of My Heart
Avenged Sevenfold	I Won't See You Tonight Part 1
Train	Explanation
Justice	Phantom Part 1.5 (Album Version)
Shinedown	Son Of Sam (Bonus Version)
Digitalism	Pogo
Octopus Project	Rorol
Skream	Auto-Dub
Cut Copy	That Was Just A Dream
Coldplay	Swallowed In The Sea
Four Tet	Hilarious Movie Of The 90s
Silverstein	Red Light Pledge (LP Version)
The Presidents of the United States of America	Boll Weevil
New Boyz	Cricketz [feat. Tyga] (Explicit Album Version)
Daft Punk	Emotion
Deadmau5	Slip
Busdriver	Cool Band Buzz
Slipknot	Wait And Bleed (Album Version)
Train	Skyscraper
Justice	TTHHEE PPAARRTTYY
Viki Mosholiou	Milo Gia Ta Pedia Mou (2006 Digital Remaster)
Aesop Rock	Daylight
Justice	One Minute To Midnight
